provider,step,source,endpoint,operation_id,function_name,intent_type,target_field,description,test_case_type,execution_result,failure_classification,is_duplicate
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_positive,positive,,[rule:positive] Raw image endpoint — relation-valid payload should pass.,positive,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_channel_strict,wrong_type,channel_strict,[rule:wrong_type] Pass strict wrong type for body field 'channel' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_channel_coercible_1,wrong_type,channel_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'channel' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_channel_coercible_0,wrong_type,channel_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'channel' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_height_strict,wrong_type,height_strict,[rule:wrong_type] Pass strict wrong type for body field 'height' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_height_coercible_1,wrong_type,height_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'height' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_height_coercible_0,wrong_type,height_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'height' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_width_strict,wrong_type,width_strict,[rule:wrong_type] Pass strict wrong type for body field 'width' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_width_coercible_1,wrong_type,width_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'width' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_wrong_type_body_width_coercible_0,wrong_type,width_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'width' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_raw_image_relation_valid,unknown,,[rule:raw_image_relation] w=4xh=4xc=3=48B -> image_data size matches (must_pass).,unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_raw_image_relation_mismatch,unknown,,[rule:raw_image_relation] w=4xh=4xc=3=48B but image_data=10B -> size mismatch (must_fail).,unknown,pending,,False
gemini,3,gemini/rule,POST /api/v2/all-in-one,post_/api/v2/all-in-one,test_post__api_v2_all_in_one_raw_image_relation_invalid_channel,unknown,,[rule:raw_image_relation] channel=0 with raw image payload.,unknown,pending,,False
gemini,3,gemini/rule,GET /api/v2/auto-template-update,get_/api/v2/auto-template-update,test_get__api_v2_auto_template_update_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_positive,positive,,[rule:positive] Happy-path — valid request should succeed.,positive,pending,,False
gemini,3,gemini/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_wrong_type_body_mode_strict,wrong_type,mode_strict,[rule:wrong_type] Pass strict wrong type for body field 'mode' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_wrong_type_body_mode_coercible_1,wrong_type,mode_coercible_1,[rule:wrong_type] Pass coercible_1 wrong type for body field 'mode' (expected integer).,wrong_type,pending,,False
gemini,3,gemini/rule,POST /api/v2/auto-template-update,post_/api/v2/auto-template-update,test_post__api_v2_auto_template_update_wrong_type_body_mode_coercible_0,wrong_type,mode_coercible_0,[rule:wrong_type] Pass coercible_0 wrong type for body field 'mode' (expected integer).,wrong_type,pending,,False
